Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
China,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,205523.71,174655.18,171768.7,180660.54,165794.01,145670.69,142902.57,162920.51,162245.57,177832.34,194567.86,176736.08,130937.52,150600.04,133950.5,115672.58,100407.68,94326.73,74148.13,53466.0,42787.31,41509.68
China,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,349442.32,271708.49,278825.3,301701.55,279210.55,287251.66,330462.79,363077.14,384497.87,323445.33,267983.74,218301.36,166216.92,190729.03,184438.21,155309.07,124473.25,100868.57,76274.37,58463.15,46541.24,44518.28
China,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,213445.08,173100.17,173559.03,204643.4,177553.15,158974.53,174506.08,190108.77,183072.92,168728.4,162716.84,138339.22,102551.71,112137.92,103751.69,89724.14,76820.4,62234.1,43128.05,28568.01,23376.95,23207.41
China,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,148847.03,112476.22,110974.41,108756.14,102703.78,93707.1,101286.38,100333.45,91164.95,87673.76,82920.31,68766.31,53679.88,73931.99,56432.02,44522.21,35107.78,27811.56,20094.76,15534.56,12518.78,11292.36
China,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,165822.96,142596.62,143244.52,147048.75,137258.93,129268.49,135616.44,149391.34,150132.59,151626.58,148268.71,121043.96,97910.97,116132.45,102062.5,91622.67,83986.28,73509.04,59408.7,48433.84,44940.52,41654.31
China,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,249876.61,200498.31,173013.7,177614.69,155961.3,138847.23,143204.21,152007.13,156405.13,132199.34,124910.65,115733.65,85722.96,103338.1,101027.67,87098.63,74680.43,64759.32,49360.6,38061.48,27338.76,25493.56
China,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,577125.5,452492.88,419322.65,479278.75,430328.15,385677.76,409979.24,397099.25,369063.86,352438.22,325010.99,283780.32,221295.02,252843.53,233168.79,203801.05,163180.46,125148.96,92626.3,70050.09,54355.08,52156.43
China,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,180971.93,136339.52,123792.11,156015.76,154441.86,135120.13,148693.06,160064.51,153394.86,133765.82,123124.01,102734.18,77755.1,81585.56,69547.96,59314.27,48741.36,44747.87,33944.17,27261.1,26217.38,22374.57
Germany,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,106763.47,88520.86,97401.38,104913.48,86934.87,86310.67,88091.62,107890.33,106236.2,99687.35,102777.85,81234.57,70206.79,90988.22,88335.35,76303.97,64375.19,59599.82,50266.05,35269.0,35622.41,44106.09
Germany,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,121000.35,103733.11,119249.54,124361.11,116981.74,111854.02,113887.94,133478.43,131619.15,131280.19,140516.05,118330.73,113102.14,137703.13,128666.0,106705.58,98354.82,93594.21,79186.81,63786.53,61235.63,62803.03
Germany,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,108856.28,89121.73,92760.19,99570.74,87375.49,82835.43,81541.85,93045.61,90491.65,87674.61,93448.45,81730.27,73105.41,93291.76,85550.22,71001.81,60942.95,56566.86,46411.79,36352.5,34007.13,35495.58
Germany,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,144604.03,119199.21,133545.76,134363.44,126687.32,118601.93,126561.01,127776.39,119125.99,112420.98,103181.35,87421.8,76297.83,105759.53,100560.79,98010.96,86050.47,80545.78,69665.33,63377.33,59613.96,56392.63
Germany,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,86799.0,78402.82,81475.27,78295.03,70721.34,65963.44,69099.3,67526.62,66571.07,67352.26,69261.44,61153.54,55787.03,69639.04,62436.45,61792.39,51928.02,50013.34,44063.98,36277.17,39831.64,42789.2
Denmark,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25133.19,20924.91,21016.97,22933.39,19596.18,18199.81,17459.25,20267.38,20325.89,18964.93,19732.36,17116.53,16776.08,22822.74,21010.12,18133.89,15242.48,14450.27,12904.19,10779.93,9684.41,9142.51
Denmark,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11630.39,9261.66,10724.93,11329.48,10798.54,10585.88,10436.2,12551.08,12935.34,13238.23,13813.45,12347.37,11255.09,15927.74,14460.98,12236.43,10602.98,9280.37,7875.01,6233.0,5679.51,6133.11
Denmark,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16167.69,13443.93,14623.83,16011.56,14449.91,14172.5,15591.59,18338.25,17046.75,14920.02,16415.7,14371.91,13839.0,17472.67,15037.0,13579.5,12617.22,12315.99,11182.09,10012.18,9166.93,8252.69
Denmark,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10029.83,8095.65,7550.82,7804.04,7069.94,6692.34,6843.37,7473.95,7220.28,6708.69,6832.06,5855.96,5644.72,7324.11,6517.07,5243.13,4894.83,4508.84,3884.34,3324.1,3123.5,3321.84
Denmark,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15384.76,12030.1,11686.21,12003.94,10920.46,10200.04,10498.74,12125.94,12007.76,11786.81,12842.05,11008.64,10443.36,15113.5,14039.14,11991.11,10260.59,8968.82,7205.8,5817.03,5317.03,5375.27
Spain,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45267.77,39010.1,44701.71,47537.56,43858.73,40618.31,39973.43,42978.07,37544.06,35990.21,43314.36,37342.2,38605.66,58374.72,59916.82,46828.75,42711.62,41314.51,35151.97,26777.06,24084.52,23148.8
